X,Y,Dim2,contrib,correlation,type,REACTOME
LP_17963,Cer(d18:0/16:0),-0.111950892,0.004158735,-0.263949868,metabolome,17761
LP_18188,Cer(d18:0/18:0),-0.100684187,0.003363788,-0.284719947,metabolome,17761
LP_18449,Cer(d18:0/20:0),-0.215001708,0.015338749,-0.335821782,metabolome,17761
LP_18756,Cer(d18:0/22:0),-0.186807651,0.01157965,-0.365285343,metabolome,17761
LP_18944,Cer(d18:0/23:0),-0.137933546,0.006313147,-0.331066242,metabolome,17761
LP_18914,Cer(d18:0/23:1),-0.144027507,0.006883305,-0.269840661,metabolome,17761
LP_19137,Cer(d18:0/24:0),0.032068065,0.000341233,0.046460935,metabolome,17761
LP_17720,Cer(d18:1/14:0) | Cer(d16:1/16:0),-0.101293722,0.00340464,-0.192472259,metabolome,17761
LP_17809,Cer(d18:1/15:0),-0.117440728,0.004576607,-0.223801332,metabolome,17761
LN_005077,Cer(d18:1/16:0),-0.057094442,0.001081668,-0.14994968,metabolome,17761
LP_18066,Cer(d18:1/17:0),-0.059432605,0.001172076,-0.143901141,metabolome,17761
LN_005041,Cer(d18:1/18:0),-0.137199839,0.006246163,-0.309078114,metabolome,17761
LN_005047,Cer(d18:1/18:1(9Z)),-0.13538815,0.006082294,-0.218348521,metabolome,17761
LP_18315,Cer(d18:1/19:0),-0.186743037,0.011571641,-0.374711547,metabolome,17761
LP_18427,Cer(d18:1/20:0),-0.254927929,0.021564578,-0.416782303,metabolome,17761
LP_18610,Cer(d18:1/21:0) | Cer(d17:1/22:0),-0.134074125,0.005964803,-0.258455837,metabolome,17761
LP_18725,Cer(d18:1/22:0),-0.157567581,0.008238343,-0.43923696,metabolome,17761
LP_18699,Cer(d18:1/22:1) | Cer(d17:1/23:1),-0.183122907,0.011127343,-0.290018773,metabolome,17761
LP_18917,Cer(d18:1/23:0),-0.119454725,0.004734922,-0.327540916,metabolome,17761
LP_18882,Cer(d18:1/23:1),-0.136880612,0.006217131,-0.248253324,metabolome,17761
LP_19361,Cer(d18:1/24:0(2OH)),-0.106597059,0.003770479,-0.160825851,metabolome,17761
LP_19083,Cer(d18:1/24:0),-0.025961192,0.000223643,-0.090981566,metabolome,17761
LP_19326,Cer(d18:1/24:1(2OH)),-0.055882492,0.001036234,-0.110906769,metabolome,17761
LP_19035,Cer(d18:1/24:1),-0.095459245,0.003023724,-0.269809746,metabolome,17761
LP_19035,Cer(d18:1/24:1),-0.095459245,0.003023724,-0.269809746,metabolome,17761
LP_19037,Cer(d18:1/24:1),-0.114536188,0.004353029,-0.211797184,metabolome,17761
LP_19037,Cer(d18:1/24:1),-0.114536188,0.004353029,-0.211797184,metabolome,17761
LP_19007,Cer(d18:1/24:2),-0.126058026,0.005272871,-0.237448934,metabolome,17761
LP_19331,Cer(d18:1/25:0),0.027809341,0.000256618,0.05825066,metabolome,17761
LP_19254,Cer(d18:1/25:1),-0.23467044,0.018273549,-0.480419429,metabolome,17761
LP_19575,Cer(d18:1/26:0) | Cer(d20:1/24:0),-0.154022091,0.007871766,-0.441484083,metabolome,17761
LP_19518,Cer(d18:1/26:1) | Cer(d20:1/24:1),-0.01653276,9.07E-05,-0.080342937,metabolome,17761
LP_19464,Cer(d18:1/26:2),-0.047882899,0.000760794,-0.154735617,metabolome,17761
LP_18700,Cer(d18:2/22:0),-0.154039382,0.007873533,-0.286140191,metabolome,17761
LP_19519,Cer(d18:2/26:0),-0.168000095,0.009365375,-0.250205624,metabolome,17761
LP_19390,Cer(t18:0/24:0),-0.093336737,0.002890755,-0.329106456,metabolome,17761
PP_038879,Choline,0.001120844,4.17E-07,0.00184961,metabolome,15354
GC_059,Citric acid,-0.034531246,0.000395668,-0.062869425,metabolome,30769
LN_003349,Corticosterone | 11-Deoxy-17-hydroxycorticosterone | 4-Pregnene-11-beta-17-alpha-diol-3-20-dione,0.075463263,0.001889632,0.256106937,metabolome,NA
PP_039001,Creatine,-0.164392442,0.008967468,-0.651000277,metabolome,16919
PP_039025,Creatinine,-0.099246801,0.00326843,-0.50501911,metabolome,16737
GC_077,Cysteinylglycine,-0.007983486,2.11E-05,-0.00996968,metabolome,4047
PN_022594,Cytidine 5prime-diphosphoethanolamine,-0.025523778,0.00021617,-0.044547847,metabolome,NA
PN_022578,Cytidine diphosphate,-0.238942193,0.018944878,-0.495194773,metabolome,17239
PN_022610,Cytidine monophosphate,0.06181043,0.001267738,0.098097006,metabolome,17361
PN_027554,Cytidine triphosphate,0.030642934,0.000311578,0.035293265,metabolome,17677
PP_039241,Cytosine,-0.422893143,0.059342716,-0.602571931,metabolome,16040
PP_039865,D-2-Aminoadipic acid | N-Methyl-L-glutamic acid,0.008219912,2.24E-05,0.035324448,metabolome,NA
GC_055,D-Fructose,0.025829389,0.000221378,0.051683555,metabolome,15824
PN_028626,D-Fructose-6-phosphate | myo-Inositol 2-phosphate | alpha-D-Mannose 1-phosphate | alpha-D-Glucose 1-phosphate | alpha-D-Glucose 6-phosphate | alpha-D-Galactose 1-phosphate,0.644719588,0.137926546,0.403589388,metabolome,NA
GC_042,D-Fucose,-0.1112007,0.004103186,-0.290539581,metabolome,2179
PN_025025,D-Galactose | myo-Inositol | allo-Inositol | muco-Inositol | alpha-D-Talose | D-chiro-Inositol,-0.107570582,0.003839664,-0.353794244,metabolome,NA
PN_023106,D-Gluconic acid | D-Galactonic acid,-0.143490068,0.006832031,-0.41431989,metabolome,NA
GC_061,D-Glucose,0.167678982,0.009329608,0.521284179,metabolome,17634
PN_022834,D-Glucuronic acid | D-Galacturonic acid,0.064083356,0.001362689,0.168094619,metabolome,NA
PN_024866,D-Mannose,-0.033705753,0.000376976,-0.050811365,metabolome,4208
PN_023234,D-ribulose 5-phosphate | alpha-D-Xylose 1-phosphate,0.270562732,0.024290815,0.217489301,metabolome,NA
PN_023250,D-Saccharic acid,0.079775614,0.002111769,0.114526367,metabolome,16002
GC_052,D-Tagatose,-0.06261513,0.001300962,-0.200757647,metabolome,4249
GC_036,D-Xylose,-0.563872876,0.105503906,-0.502689336,metabolome,15936
LN_001477,DAG 34:1,-0.156838226,0.008162251,-0.31316029,metabolome,17815
LN_001483,DAG 34:2,-0.116363177,0.004493009,-0.343323348,metabolome,17815
LN_000001,DAG 36:1,-0.171811814,0.009795174,-0.400901603,metabolome,17815
LN_000007,DAG 36:2,-0.133089909,0.005877551,-0.253235395,metabolome,17815
LP_18879,DAG 36:4,-0.205570115,0.014022521,-0.483261787,metabolome,17815
LP_19320,DAG 38:3,-0.129538354,0.005568047,-0.336146592,metabolome,17815
LP_19249,DAG 38:4,-0.127370276,0.005383222,-0.307403118,metabolome,17815
LP_19249,DAG 38:4,-0.127370276,0.005383222,-0.307403118,metabolome,17815
LP_19248,DAG 38:4,-0.135138339,0.00605987,-0.425928383,metabolome,17815
LP_19248,DAG 38:4,-0.135138339,0.00605987,-0.425928383,metabolome,17815
LP_19225,DAG 38:5,-0.070639074,0.001655755,-0.246792811,metabolome,17815
LP_19225,DAG 38:5,-0.070639074,0.001655755,-0.246792811,metabolome,17815
LP_19225,DAG 38:5,-0.070639074,0.001655755,-0.246792811,metabolome,17815
LP_19226,DAG 38:5,-0.303529159,0.030570811,-0.686072317,metabolome,17815
LP_19226,DAG 38:5,-0.303529159,0.030570811,-0.686072317,metabolome,17815
LP_19226,DAG 38:5,-0.303529159,0.030570811,-0.686072317,metabolome,17815
LP_19227,DAG 38:5,-0.190327744,0.012020162,-0.366917174,metabolome,17815
LP_19227,DAG 38:5,-0.190327744,0.012020162,-0.366917174,metabolome,17815
LP_19227,DAG 38:5,-0.190327744,0.012020162,-0.366917174,metabolome,17815
LP_19205,DAG 38:6,-0.09637371,0.003081934,-0.260924394,metabolome,17815
LP_19872,DAG 40:4,-0.103038358,0.00352293,-0.297136882,metabolome,17815
LP_19816,DAG 40:5,-0.153051121,0.00777283,-0.420608053,metabolome,17815
LP_19816,DAG 40:5,-0.153051121,0.00777283,-0.420608053,metabolome,17815
LP_19816,DAG 40:5,-0.153051121,0.00777283,-0.420608053,metabolome,17815
LP_19817,DAG 40:5,-0.152839001,0.007751299,-0.391376463,metabolome,17815
LP_19817,DAG 40:5,-0.152839001,0.007751299,-0.391376463,metabolome,17815
LP_19817,DAG 40:5,-0.152839001,0.007751299,-0.391376463,metabolome,17815
LP_19815,DAG 40:5,0.006527238,1.41E-05,0.016586423,metabolome,17815
LP_19815,DAG 40:5,0.006527238,1.41E-05,0.016586423,metabolome,17815
LP_19815,DAG 40:5,0.006527238,1.41E-05,0.016586423,metabolome,17815
LP_19779,DAG 40:6,0.022506505,0.000168082,0.047356274,metabolome,17815
LP_19779,DAG 40:6,0.022506505,0.000168082,0.047356274,metabolome,17815
LP_19781,DAG 40:6,-0.150350911,0.007500984,-0.40034444,metabolome,17815
LP_19781,DAG 40:6,-0.150350911,0.007500984,-0.40034444,metabolome,17815
LP_19755,DAG 40:7,-0.006980363,1.62E-05,-0.022316591,metabolome,17815
LN_001543,DAG 42:1,0.004330297,6.22E-06,0.014556172,metabolome,17815
PN_027714,Deoxyadenosine diphosphate,-0.445958597,0.065992595,-0.585579601,metabolome,16174
PN_020673,Deoxyuridine,-0.310771033,0.032046986,-0.521264004,metabolome,16450
PP_042119,Ergothioneine,-0.215415797,0.01539789,-0.719091987,metabolome,4828
LN_003560,Erucic acid (FA 22:1),-0.041068387,0.000559656,-0.169475816,metabolome,28792
GC_021,Erythritol,-0.091054618,0.002751123,-0.230526622,metabolome,17113
LN_003716,FA 17:0,-0.136747876,0.006205079,-0.252467473,metabolome,15904
LN_000194,FA 17:1,-0.207911169,0.014343719,-0.239775218,metabolome,15904
LN_004286,FA 19:0,-0.114408787,0.004343351,-0.356943351,metabolome,15904
LN_000200,FA 19:1,-0.159475284,0.008439037,-0.245356856,metabolome,15904
LN_004742,FA 20:2,-0.140323583,0.006533824,-0.262186019,metabolome,15904
LN_002612,FA 20:3,-0.076216001,0.001927518,-0.100546298,metabolome,15904
LN_002618,FA 20:5,-0.063445867,0.001335712,-0.068179943,metabolome,15904
LN_004694,FA 22:6,-0.107899678,0.003863193,-0.216850486,metabolome,15904
LN_000206,FA 23:0,-0.107833256,0.003858438,-0.264846845,metabolome,27283
LN_000212,FA 25:0,-0.132982885,0.005868102,-0.481009887,metabolome,27283
LN_000218,FA 25:1,-0.105348576,0.003682676,-0.395657019,metabolome,27283
LN_000224,FA 26:0,-0.249563833,0.020666618,-0.547015313,metabolome,27283
LN_000230,FA 26:1,-0.078595092,0.002049732,-0.263289521,metabolome,27283
PN_023378,Flavin mononucleotide,-0.169320409,0.009513159,-0.257524257,metabolome,17621
PP_049273,Folic acid,-0.495109231,0.081340751,-0.303387833,metabolome,27470
GC_017,Fumaric acid,-0.150633935,0.007529251,-0.336452749,metabolome,18012
PP_049382,Geraniol | Fenchyl alcohol,-0.179842378,0.010732236,-0.320134274,metabolome,NA
LP_19427,GlcCer(d18:1/14:0) | GlcCer(d16:1/16:0),-0.017850291,0.00010573,-0.035075294,metabolome,36500
LP_20090,GlcCer(d18:1/16:0),0.056251055,0.001049947,0.183580798,metabolome,36500
LP_009299,GlcCer(d18:1/18:0),0.301851846,0.030233874,0.507814417,metabolome,36500
LP_25137,GlcCer(d18:1/22:0),0.060651097,0.001220628,0.049008992,metabolome,36500
LP_26384,GlcCer(d18:1/23:0),-0.009799352,3.19E-05,-0.010949823,metabolome,36500
LP_27455,GlcCer(d18:1/24:0),3.96E-05,5.21E-10,5.31E-05,metabolome,36500
LP_27257,GlcCer(d18:1/24:1),0.074418995,0.001837696,0.233755689,metabolome,36500
LP_002578,GlcCer(t18:1(8E)/22:0(2OH)),0.047481349,0.000748087,0.183286527,metabolome,36500
PN_022850,Glyceraldehyde 3-phosphate,-0.210435199,0.014694097,-0.402033623,metabolome,29052
GC_006,Glycerol,-0.072684716,0.001753042,-0.175103211,metabolome,17754
GC_010,Glycine,-0.001900599,1.20E-06,-0.00550774,metabolome,15428
PP_041209,Glycyl-L-phenylalanine,-0.190618245,0.012056883,-0.338718028,metabolome,73912
PP_055681,Glycyl-L-threonine,-0.169268022,0.009507273,-0.369922829,metabolome,73920
PP_055753,Glycyl-L-tyrosine,-0.235361141,0.018381276,-0.498233782,metabolome,73517
LN_002606,Gondoic Acid (FA 20:1),-0.153564476,0.00782506,-0.274440398,metabolome,32425
PP_041329,Guanosine,-0.163608445,0.008882139,-0.298177539,metabolome,16750
PN_027506,Heptanedioic acid,-0.045834238,0.000697086,-0.134731113,metabolome,30531
PN_023826,Hippuric acid,-0.313881235,0.032691649,-0.402218322,metabolome,18089
PP_035017,Homoserine lactone | 1-Aminocyclopropanecarboxylic acid,-0.213674938,0.015150023,-0.448044782,metabolome,NA
PP_041689,Hydroxymethylphosphonic acid,-0.266802983,0.023620413,-0.483780966,metabolome,5810
PP_041713,Hypotaurine,0.066003337,0.001445566,0.100069826,metabolome,16668
PP_041761,Imidazole-4-acetic acid,0.136314865,0.006165844,0.148543072,metabolome,16974
LN_003782,Indole-3-acetic acid,-0.065073431,0.00140512,-0.080328795,metabolome,16411
PP_041929,Inosine,0.141937606,0.006684995,0.329165546,metabolome,17596
GC_001,L-Alanine,-0.111027706,0.004090429,-0.282422075,metabolome,16977
PP_042217,L-Alanyl-L-alanine | Gly-gamma-aminobutyric acid,-0.285155317,0.026981685,-0.307268304,metabolome,NA
PP_054241,L-Alanyl-L-threonine,-0.202416764,0.013595622,-0.489656721,metabolome,73762
PP_042313,L-Arginine,0.116417859,0.004497233,0.388371742,metabolome,16467
PP_038329,L-Argininosuccinic acid,-0.246625227,0.020182786,-0.46913921,metabolome,15682
GC_032,L-Asparagine,-0.308109724,0.031500463,-0.358584597,metabolome,17196
GC_026,L-Aspartic acid,0.007436096,1.83E-05,0.030296371,metabolome,17053
PP_039913,L-Aspartic acid | Iminodiacetic acid,0.223675997,0.016601407,0.212382749,metabolome,NA
PP_054361,L-Aspartyl-L-aspartic acid,-0.103081859,0.003525905,-0.342936593,metabolome,NA
PP_054529,L-Aspartyl-L-glutamine | L-Asparaginyl-L-glutamic acid,-0.470562241,0.073475116,-0.546358498,metabolome,NA
PP_054481,L-Aspartyl-L-leucine,0.355294857,0.041887455,0.257682276,metabolome,NA
PP_054409,L-Aspartylglycine,-0.086954795,0.002508957,-0.332533627,metabolome,NA
PP_042409,L-Carnitine,-0.258649587,0.022198811,-0.771596321,metabolome,16347
PP_042457,L-Citrulline,-0.292363244,0.028362968,-0.573732732,metabolome,16349
GC_062,L-Citrulline |L-Arginine,-0.050867315,0.000858586,-0.092253996,metabolome,NA
PN_024450,L-Cysteic acid,0.036758751,0.000448361,0.07361322,metabolome,17285
PP_042529,L-Cysteine,-0.326127662,0.035292417,-0.37463523,metabolome,17561
PN_024498,L-Cysteinesulfinic acid,-0.050424289,0.000843695,-0.09952916,metabolome,16345
PP_042673,L-Glutamic acid,-0.160185749,0.008514397,-0.454656461,metabolome,16015
GC_060,L-Glutamine,0.095471574,0.003024505,0.371147174,metabolome,18050
PP_042697,L-Glutamine | L-Alanylglycine,-0.071997463,0.001720048,-0.203313247,metabolome,NA
PP_054697,L-Glutamyl-L-alanine | L-Alanyl-L-glutamic acid,-0.263909814,0.023110919,-0.519429346,metabolome,NA
PP_054889,L-Glutamyl-L-glutamine,-0.087963201,0.002567487,-0.116840299,metabolome,141435
PP_054817,L-Glutamyl-L-leucine,-0.020718241,0.000142433,-0.03346401,metabolome,NA
PP_054961,L-Glutamyl-L-Serine | L-Aspartyl-L-threonine | L-Seryl-L-glutamic acid | L-Threonyl-L-aspartic acid,-0.191108129,0.012118935,-0.194666362,metabolome,NA
PP_054985,L-Glutamyl-L-threonine,-0.262151552,0.022803998,-0.588821846,metabolome,NA
PP_055009,L-Glutamyl-L-valine,0.009657775,3.09E-05,0.025080746,metabolome,68846
PP_054769,L-Glutamylglycine | L-Aspartyl-L-alanine | Glycyl-L-glutamic acid,-0.331442625,0.036452125,-0.245449792,metabolome,NA
GC_073,L-Histidine,-0.090275202,0.002704226,-0.145051588,metabolome,15971
PP_041545,L-Homocysteine,-0.149974689,0.007463492,-0.200346676,metabolome,17588
GC_009,L-Isoleucine,-0.048104344,0.000767847,-0.134059187,metabolome,17191
PP_042817,L-Kynurenine,-0.0546183,0.00098988,-0.156416526,metabolome,16946
GC_008,L-Leucine,-0.053464233,0.00094849,-0.136778233,metabolome,15603
PP_057097,L-Leucylglycine,0.022283904,0.000164774,0.024995467,metabolome,74534
GC_065,L-Lysine,0.09054932,0.002720674,0.187795445,metabolome,18019
GC_023,L-Malic acid,-0.2067851,0.014188766,-0.433467877,metabolome,30797
PP_043273,L-Methionine,0.104945346,0.003654538,0.078472006,metabolome,16643
PP_042889,L-Methionine sulfoxide,-0.335592113,0.037370561,-0.530416068,metabolome,17016
GC_034,L-Ornithine,-0.085962667,0.002452031,-0.174013588,metabolome,15729
GC_044,L-Phenylalanine,-0.072684488,0.001753031,-0.163516843,metabolome,17295
GC_012,L-Proline,0.034007518,0.000383757,0.158355723,metabolome,17203
PP_058369,L-Prolyl-L-alanine,0.082646794,0.002266513,0.204760562,metabolome,74753
PP_058513,L-Prolyl-L-glutamine,-0.19841922,0.013063923,-0.673175256,metabolome,74757
PP_058489,L-Prolyl-L-serine,-0.028067682,0.000261408,-0.102823984,metabolome,73648
PP_058465,L-Prolyl-L-threonine,0.19340541,0.012412046,0.383056946,metabolome,141395
PP_058273,L-Prolylglycine,-0.114120604,0.004321497,-0.427924576,metabolome,61695
GC_014,L-Serine,-0.066233977,0.001455686,-0.208158157,metabolome,17115
PP_059305,L-Seryl-L-aspartic acid,0.126793212,0.005334554,0.280580658,metabolome,74807
GC_027,L-Threonic acid,-0.222184748,0.016380781,-0.46271561,metabolome,15908
GC_016,L-Threonine,-0.030445827,0.000307583,-0.101518939,metabolome,16857
PP_052705,L-Threonine | L-Homoserine | Allothreonine | beta-Homoserine | (S)-(+)-2-Amino-2-methyl-3-hydroxypropanoic acid,-0.198887068,0.013125602,-0.427116561,metabolome,NA
GC_078,L-Tryptophan,4.47E-05,6.63E-10,0.000104731,metabolome,16828
GC_071,L-Tyrosine,-0.010012246,3.33E-05,-0.027687508,metabolome,17895
PP_060961,L-Tyrosyl-L-aspartic acid,-0.197238706,0.012908935,-0.465221181,metabolome,141455
GC_005,L-Valine,-0.055360716,0.001016973,-0.151001825,metabolome,16414
PP_046921,L-Valine | Norvaline,0.002199113,1.60E-06,0.009871639,metabolome,NA
PP_060265,L-Valyl-L-asparagine,0.163556926,0.008876546,0.189956023,metabolome,73698
PP_060337,L-Valyl-L-serine,-0.045268029,0.000679969,-0.054925924,metabolome,75021
PP_060025,L-Valyl-L-threonine,-0.277715367,0.025592102,-0.616055654,metabolome,90330
LN_003908,Lignoceric acid (FA 24:0),-0.098762628,0.003236618,-0.45487406,metabolome,28866
LN_003914,Linoleic acid (FA 18:2),-0.241091886,0.019287295,-0.276738625,metabolome,17351
PP_050833,Lumichrome,-0.21989008,0.016044176,-0.340634718,metabolome,17781
LP_17519,LysoPC 14:0,-0.127428859,0.005388175,-0.203667153,metabolome,16728
LP_17519,LysoPC 14:0,-0.127428859,0.005388175,-0.203667153,metabolome,16728
LP_17518,LysoPC 14:0,-0.109780342,0.003999036,-0.198585248,metabolome,16728
LP_17518,LysoPC 14:0,-0.109780342,0.003999036,-0.198585248,metabolome,16728
LP_17571,LysoPC 15:0,-0.021143811,0.000148345,-0.053139129,metabolome,16728
LP_009365,LysoPC 16:0,-0.094119484,0.002939444,-0.159351174,metabolome,16728
LP_009365,LysoPC 16:0,-0.094119484,0.002939444,-0.159351174,metabolome,16728
LP_17635,LysoPC 16:0,0.026901079,0.00024013,0.104016674,metabolome,16728
LP_17635,LysoPC 16:0,0.026901079,0.00024013,0.104016674,metabolome,16728
LP_17711,LysoPC 17:0,-0.08960495,0.00266422,-0.184347618,metabolome,16728
LP_17691,LysoPC 17:1,-0.086335032,0.00247332,-0.153953289,metabolome,16728
LP_17799,LysoPC 18:0,-0.002184524,1.58E-06,-0.00633637,metabolome,16728
LP_17799,LysoPC 18:0,-0.002184524,1.58E-06,-0.00633637,metabolome,16728
LP_009398,LysoPC 18:0,-0.094881367,0.002987225,-0.174403982,metabolome,16728
LP_009398,LysoPC 18:0,-0.094881367,0.002987225,-0.174403982,metabolome,16728
LP_002930,LysoPC 18:1,-0.105236025,0.003674811,-0.165276195,metabolome,16728
LP_002930,LysoPC 18:1,-0.105236025,0.003674811,-0.165276195,metabolome,16728
LP_000433,LysoPC 18:1,-0.153328734,0.007801053,-0.235229553,metabolome,16728
LP_000433,LysoPC 18:1,-0.153328734,0.007801053,-0.235229553,metabolome,16728
LP_17754,LysoPC 18:2,-0.079887481,0.002117696,-0.092098286,metabolome,16728
LP_17937,LysoPC 19:0,-0.047808182,0.000758421,-0.097977863,metabolome,16728
LP_17937,LysoPC 19:0,-0.047808182,0.000758421,-0.097977863,metabolome,16728
LP_17938,LysoPC 19:0,-0.002569532,2.19E-06,-0.005894031,metabolome,16728
LP_17938,LysoPC 19:0,-0.002569532,2.19E-06,-0.005894031,metabolome,16728
LP_17898,LysoPC 19:1,-0.154054344,0.007875063,-0.242548775,metabolome,16728
LP_18054,LysoPC 20:0,-0.078949811,0.002068275,-0.145773616,metabolome,16728
LP_18022,LysoPC 20:1,-0.118016867,0.004621621,-0.209896324,metabolome,16728
LP_17988,LysoPC 20:3,-0.230734004,0.017665638,-0.28332415,metabolome,16728
LP_17988,LysoPC 20:3,-0.230734004,0.017665638,-0.28332415,metabolome,16728
LP_17987,LysoPC 20:3,-0.089276242,0.002644709,-0.131983736,metabolome,16728
LP_17987,LysoPC 20:3,-0.089276242,0.002644709,-0.131983736,metabolome,16728
LP_17975,LysoPC 20:4,-0.056880166,0.001073564,-0.070077925,metabolome,16728
LP_18308,LysoPC 22:0,-0.067234146,0.001499982,-0.137658971,metabolome,16728
LP_18282,LysoPC 22:1,-0.088875386,0.002621013,-0.162876048,metabolome,16728
LP_18195,LysoPC 22:5,-0.189392768,0.011902355,-0.304312333,metabolome,16728
LP_18178,LysoPC 22:6,-0.300218845,0.029907632,-0.39624102,metabolome,16728
LP_18606,LysoPC 24:0,-0.117635685,0.004591814,-0.20026154,metabolome,16728
LP_18606,LysoPC 24:0,-0.117635685,0.004591814,-0.20026154,metabolome,16728
LP_18605,LysoPC 24:0,-0.151842422,0.007650545,-0.247968429,metabolome,16728
LP_18605,LysoPC 24:0,-0.151842422,0.007650545,-0.247968429,metabolome,16728
LP_18587,LysoPC 24:1,-0.056871428,0.001073234,-0.112305067,metabolome,16728
LP_18904,LysoPC 26:0,-0.20111237,0.013420964,-0.315385815,metabolome,16728
LP_18904,LysoPC 26:0,-0.20111237,0.013420964,-0.315385815,metabolome,16728
LP_18904,LysoPC 26:0,-0.20111237,0.013420964,-0.315385815,metabolome,16728
LP_18903,LysoPC 26:0,-0.232265049,0.017900858,-0.299241662,metabolome,16728
LP_18903,LysoPC 26:0,-0.232265049,0.017900858,-0.299241662,metabolome,16728
LP_18903,LysoPC 26:0,-0.232265049,0.017900858,-0.299241662,metabolome,16728
LP_18902,LysoPC 26:0,0.035738135,0.000423809,0.124726873,metabolome,16728
LP_18902,LysoPC 26:0,0.035738135,0.000423809,0.124726873,metabolome,16728
LP_18902,LysoPC 26:0,0.035738135,0.000423809,0.124726873,metabolome,16728
LP_18871,LysoPC 26:1,-0.134937783,0.006041896,-0.197934091,metabolome,16728
LP_18871,LysoPC 26:1,-0.134937783,0.006041896,-0.197934091,metabolome,16728
LP_18872,LysoPC 26:1,-0.10887987,0.003933701,-0.176712098,metabolome,16728
LP_18872,LysoPC 26:1,-0.10887987,0.003933701,-0.176712098,metabolome,16728
LP_19067,LysoPC 27:0,0.034709465,0.000399762,0.262118262,metabolome,16728
LP_19314,LysoPC 28:0,0.002692762,2.41E-06,0.014571573,metabolome,16728
LP_009376,LysoPE 16:0,-0.01725437,9.88E-05,-0.047945231,metabolome,29017
LP_17572,LysoPE 18:0,0.019920316,0.000131674,0.088513203,metabolome,29017
LN_000254,LysoPE 18:1,0.008329293,2.30E-05,0.015725125,metabolome,29017
LN_000254,LysoPE 18:1,0.008329293,2.30E-05,0.015725125,metabolome,29017
LN_000254,LysoPE 18:1,0.008329293,2.30E-05,0.015725125,metabolome,29017
LP_17566,LysoPE 18:1,0.030338489,0.000305418,0.056231157,metabolome,29017
