#chrom	txStart	txEnd	refseq	score	strand	symbol
chr1	50969969	50974637	NM_078626	0.977	+	CDKN2C
chr21	42849225	42879589	NM_001260476	0.960	-	WDR4
chr21	42849225	42879589	NR_048535	0.960	-	WDR4
chr21	42849225	42879583	NM_001260474	0.960	-	WDR4
chr21	42849225	42879583	NM_001260475	0.960	-	WDR4
chr21	42849225	42879583	NM_018669	0.960	-	WDR4
chr21	42843079	42879583	NM_033661	0.960	-	WDR4
chr21	42893267	42909663	NM_001001503	0.953	+	NDUFV3
chr21	42893267	42909663	NM_021075	0.953	+	NDUFV3
chr21	42849225	42879275	NM_001260477	0.948	-	WDR4
chr8	85775015	85776093	NR_003594	0.933	-	REXO1L2P
chr5	134601148	134632843	NM_001033503	0.926	-	SAR1B
chr5	134601148	134632843	NM_016103	0.926	-	SAR1B
chr5	134648784	134693698	NM_001252231	0.924	+	SEC24A
chr5	134648784	134727911	NM_021982	0.924	+	SEC24A
chr2	113577381	113578852	NR_026821	0.889	+	FAM138B
chr21	8209630	8211499	NR_003286	0.885	+	RNA18S5
chr8	85714843	85715921	NR_003594	0.878	+	REXO1L2P
chr21	8208843	8208904	NR_037458	0.858	+	MIR3687
chr20	21303303	21389825	NM_012255	0.852	+	XRN2
chr21	8208472	8208652	NR_037421	0.845	+	MIR3648
chr14	31100114	31207523	NM_015382	0.840	-	HECTD1
chr19	47928817	47928937	NR_024217	0.827	+	SNAR-C2
chr19	47928817	47928937	NR_024219	0.827	+	SNAR-C5
chr19	47928817	47928937	NR_024220	0.827	+	SNAR-C1
chr9	41233754	41233835	NR_039688	0.820	+	MIR4477A
chr9	41233754	41233835	NR_039689	0.819	-	MIR4477B
chr5	134845967	134859735	NM_001135586	0.794	+	C5orf24
chr5	134845679	134859735	NM_152409	0.789	+	C5orf24
chr8	57219088	57232829	NR_038235	0.784	+	LOC100507651
chr3	31532998	31636064	NM_178862	0.784	+	STT3B
chr5	134873769	134901633	NM_024715	0.775	+	TXNDC15
chr20	31547381	31548216	NR_003677	0.768	+	MCTS2P
chr20	31514409	31569567	NM_030789	0.767	+	HM13
chr20	31514409	31569567	NM_178580	0.767	+	HM13
chr20	31514409	31569567	NM_178581	0.767	+	HM13
chr20	31514409	31539923	NM_178582	0.767	+	HM13
chr11	125592794	125622759	NM_001278503	0.767	+	STT3A
chr11	125592794	125622759	NM_001278504	0.767	+	STT3A
chr11	125592794	125622759	NM_152713	0.767	+	STT3A
chr11	125625135	125676255	NM_001114121	0.758	+	CHEK1
chr11	125625135	125657147	NM_001114122	0.758	+	CHEK1
chr11	125625135	125657147	NM_001244846	0.758	+	CHEK1
chr11	125625135	125657147	NR_045204	0.758	+	CHEK1
chr11	118747763	118791263	NM_004397	0.755	-	DDX6
chr11	125626228	125657147	NR_045205	0.753	+	CHEK1
chr12	103930333	103947930	NM_003299	0.752	+	HSP90B1
chr12	103843748	103930211	NR_027249	0.751	-	GNN
chr12	103965814	103988878	NM_003211	0.751	+	TDG
chr12	103930424	103930555	NR_037425	0.751	+	MIR3652
chr11	125626355	125657147	NM_001274	0.749	+	CHEK1
chr11	118747763	118790948	NM_001257191	0.746	-	DDX6
chr5	40831327	40835285	NM_000997	0.740	-	RPL37
chr16	33360876	33363478	NM_001099687	0.734	+	TP53TG3B
chr16	33360876	33363478	NM_016212	0.734	+	TP53TG3
chr16	33360876	33363478	NR_110886	0.734	+	TP53TG3
chr16	33360876	33363478	NR_110897	0.734	+	TP53TG3B
chr16	33360876	33363478	NR_110910	0.734	+	TP53TG3
chr16	33360876	33363478	NR_110911	0.734	+	TP53TG3B
chr16	33360878	33362918	NM_001205259	0.734	+	TP53TG3C
chr16	33360878	33362918	NR_110914	0.734	+	TP53TG3C
chr5	40759378	40798195	NM_006251	0.732	-	PRKAA1
chr5	40759378	40798195	NM_206907	0.732	-	PRKAA1
chr21	8252231	8252321	NR_030386	0.722	+	MIR663A
chr4	102794382	102827553	NM_181887	0.720	-	UBE2D3
chr4	102868977	102892806	NM_001008388	0.720	+	CISD2
chr4	102794382	102868893	NM_181890	0.718	-	UBE2D3
chr4	102794382	102868893	NM_181893	0.718	-	UBE2D3
chr2	241315186	241354026	NM_001008491	0.717	+	SEPT2
chr2	241315186	241354026	NM_006155	0.717	+	SEPT2
chr2	241227266	241272831	NM_001243900	0.717	-	HDLBP
chr2	241227266	241272831	NM_203346	0.717	-	HDLBP
chr4	102794382	102827948	NM_003340	0.715	-	UBE2D3
chr4	102794382	102827948	NM_181886	0.715	-	UBE2D3
chr4	102794382	102827948	NM_181888	0.715	-	UBE2D3
chr4	102794382	102827948	NM_181891	0.715	-	UBE2D3
chr7	108562143	108569768	NM_001130475	0.713	-	THAP5
chr7	108562143	108569768	NM_001287599	0.713	-	THAP5
chr7	108562143	108569768	NM_001287601	0.713	-	THAP5
chr19	50097825	50097946	NR_024214	0.712	-	SNAR-A3
chr19	50097825	50097946	NR_024215	0.712	-	SNAR-A4
chr19	50097825	50097946	NR_024223	0.712	-	SNAR-A5
chr19	50097825	50097946	NR_024224	0.712	-	SNAR-A7
chr19	50097825	50097946	NR_024225	0.712	-	SNAR-A11
chr19	50097825	50097946	NR_024226	0.712	-	SNAR-A9
chr19	50097825	50097946	NR_024227	0.712	-	SNAR-A6
chr19	50097825	50097946	NR_024228	0.712	-	SNAR-A8
chr19	50097825	50097946	NR_024229	0.712	-	SNAR-A10
chr19	50097825	50097946	NR_024242	0.712	-	SNAR-A14
chr7	108569744	108574850	NM_012328	0.712	+	DNAJB9
chr7	108470421	108526318	NM_001256007	0.712	-	PNPLA8
chr7	108470421	108526318	NM_001256008	0.712	-	PNPLA8
chr7	108470421	108526318	NM_001256009	0.712	-	PNPLA8
chr7	108470421	108526318	NM_001256010	0.712	-	PNPLA8
chr7	108470421	108526318	NM_015723	0.712	-	PNPLA8
chr4	102794382	102828180	NM_181889	0.711	-	UBE2D3
chr19	50100890	50101011	NR_024214	0.710	-	SNAR-A3
chr19	50100890	50101011	NR_024215	0.710	-	SNAR-A4
chr19	50100890	50101011	NR_024223	0.710	-	SNAR-A5
chr19	50100890	50101011	NR_024224	0.710	-	SNAR-A7
chr19	50100890	50101011	NR_024225	0.710	-	SNAR-A11
chr19	50100890	50101011	NR_024226	0.710	-	SNAR-A9
chr19	50100890	50101011	NR_024227	0.710	-	SNAR-A6
chr19	50100890	50101011	NR_024228	0.710	-	SNAR-A8
chr19	50100890	50101011	NR_024229	0.710	-	SNAR-A10
chr19	50100890	50101011	NR_024242	0.710	-	SNAR-A14
chr4	102794382	102827183	NM_181892	0.710	-	UBE2D3
chr11	119044184	119057246	NM_001130991	0.707	-	HYOU1
chr11	119044184	119057246	NM_006389	0.707	-	HYOU1
chr7	108562143	108569453	NM_001287598	0.706	-	THAP5
chr7	108562143	108569453	NM_182529	0.706	-	THAP5
chr19	50133744	50133864	NR_024230	0.706	-	SNAR-B2
chr19	50133744	50133864	NR_024231	0.706	-	SNAR-B1
chr2	241227266	241315700	NM_005336	0.705	-	HDLBP
chr11	119096502	119102075	NM_001382	0.704	-	DPAGT1
chr4	9267618	9269211	NM_001256861	0.701	+	USP17L20
chr4	9267618	9269211	NM_001256863	0.701	+	USP17L22
chr2	241315860	241354026	NM_001008492	0.701	+	SEPT2
chr2	241315860	241354026	NM_001282972	0.701	+	SEPT2
chr2	241315860	241354026	NM_001282973	0.701	+	SEPT2
chr2	241315860	241354026	NM_004404	0.701	+	SEPT2
chr5	40832655	40832735	NR_002583	0.698	-	SNORD72
chr4	9243878	9245471	NM_001256857	0.690	+	USP17L17
chr11	65084221	65088402	NM_006782	0.686	+	ZFPL1
chrX	154398229	154402339	NM_001256577	0.685	+	RPL10
chrX	154398229	154402339	NM_001256580	0.685	+	RPL10
chrX	154398229	154402339	NM_006013	0.685	+	RPL10
chr11	65077454	65084143	NM_080668	0.684	-	CDCA5
chr7	108470421	108528161	NM_001256011	0.679	-	PNPLA8
chr19	47923778	47923899	NR_024214	0.676	+	SNAR-A3
chr19	47923778	47923899	NR_024215	0.676	+	SNAR-A4
chr19	47923778	47923899	NR_024223	0.676	+	SNAR-A5
chr19	47923778	47923899	NR_024224	0.676	+	SNAR-A7
chr19	47923778	47923899	NR_024225	0.676	+	SNAR-A11
chr19	47923778	47923899	NR_024226	0.676	+	SNAR-A9
chr19	47923778	47923899	NR_024227	0.676	+	SNAR-A6
chr19	47923778	47923899	NR_024228	0.676	+	SNAR-A8
chr19	47923778	47923899	NR_024229	0.676	+	SNAR-A10
chr19	47923778	47923899	NR_024242	0.676	+	SNAR-A14
chr3	171600404	171810494	NM_001130081	0.676	-	PLD1
chr3	171600404	171810494	NM_002662	0.676	-	PLD1
chr14	24138964	24141588	NM_016049	0.675	-	EMC9
chr14	24190037	24195736	NM_001014842	0.675	-	TM9SF1
chr14	24189142	24195736	NM_001289006	0.675	-	TM9SF1
chr14	24189142	24195736	NM_006405	0.675	-	TM9SF1
chr16	11679086	11742792	NM_015914	0.675	-	TXNDC11
chr11	65127278	65134532	NM_032431	0.674	-	SYVN1
chr11	65127278	65134532	NM_172230	0.674	-	SYVN1
chr16	11750585	11797258	NM_014153	0.673	-	ZC3H7A
chr9	63819573	63819654	NR_039688	0.670	-	MIR4477A
chr9	63819573	63819654	NR_039689	0.669	+	MIR4477B
chr11	126202093	126211692	NM_001144827	0.667	-	RPUSD4
chr11	126202093	126211692	NM_032795	0.667	-	RPUSD4
chr11	126211723	126262984	NM_024556	0.666	+	FAM118B
chr21	43773664	43776375	NM_000100	0.666	-	CSTB
chr11	126262918	126268982	NM_001177842	0.666	-	SRPR
chr11	126262918	126268982	NM_003139	0.666	-	SRPR
chr4	118850687	119061247	NM_001286754	0.665	+	SYNPO2
chr19	50103954	50104075	NR_024214	0.665	-	SNAR-A3
chr19	50103954	50104075	NR_024215	0.665	-	SNAR-A4
chr19	50103954	50104075	NR_024223	0.665	-	SNAR-A5
chr19	50103954	50104075	NR_024224	0.665	-	SNAR-A7
chr19	50103954	50104075	NR_024225	0.665	-	SNAR-A11
chr19	50103954	50104075	NR_024226	0.665	-	SNAR-A9
chr19	50103954	50104075	NR_024227	0.665	-	SNAR-A6
chr19	50103954	50104075	NR_024228	0.665	-	SNAR-A8
chr19	50103954	50104075	NR_024229	0.665	-	SNAR-A10
chr19	50103954	50104075	NR_024242	0.665	-	SNAR-A14
chr11	126269039	126278132	NM_017547	0.664	+	FOXRED1
chr11	126269039	126278132	NR_037647	0.664	+	FOXRED1
chr17	782272	792501	NM_018146	0.663	+	RNMTL1
chr21	43719096	43762307	NM_003681	0.663	+	PDXK
chr17	759308	782331	NM_016080	0.662	-	GLOD4
chr11	126269144	126278132	NR_037648	0.661	+	FOXRED1
chr8	70637265	70669212	NM_016027	0.658	-	LACTB2
chr6	70426438	70561174	NM_001162529	0.656	+	FAM135A
chr19	50139117	50139237	NR_024230	0.656	-	SNAR-B2
chr19	50139117	50139237	NR_024231	0.656	-	SNAR-B1
chr8	70669364	70735942	NM_001011720	0.654	+	XKR9
chr8	70669364	70735942	NM_001287258	0.654	+	XKR9
chr8	70669364	70735942	NM_001287259	0.654	+	XKR9
chr1	33007939	33036911	NM_001199199	0.653	-	AK2
chr1	33011224	33036911	NM_001625	0.653	-	AK2
chr1	33007939	33036911	NM_013411	0.653	-	AK2
chr1	33007939	33036911	NR_037591	0.653	-	AK2
chr1	33011224	33036911	NR_037592	0.653	-	AK2
chr4	9262871	9264464	NM_001256853	0.652	+	USP17L12
chr4	9262871	9264464	NM_001256862	0.652	+	USP17L21
chr14	105621115	105621180	NR_107038	0.652	+	MIR8071-1
chr14	105621115	105621180	NR_107059	0.652	+	MIR8071-2
chr8	70669446	70735942	NM_001287260	0.652	+	XKR9
chr8	108443623	108486907	NM_014673	0.649	+	EMC2
chr2	53669979	53787009	NM_016115	0.648	-	ASB3
chr2	53669979	53787009	NM_145863	0.648	-	ASB3
chr5	40825262	40829142	NR_037665	0.648	-	LOC100506548
chr2	53786930	53818819	NM_001127397	0.647	+	ERLEC1
chr2	53786930	53818819	NM_001127398	0.647	+	ERLEC1
chr2	53786930	53818819	NM_015701	0.647	+	ERLEC1
chr4	9234384	9236334	NM_001256894	0.647	+	USP17L15
chr4	9248629	9250222	NM_001256854	0.646	+	USP17L11
chr4	9248629	9250222	NM_001256859	0.646	+	USP17L18
chr8	70573217	70608459	NM_014294	0.645	-	TRAM1
chr2	53669979	53786848	NM_001201965	0.645	-	ASB3
chr4	39454124	39458948	NM_000661	0.645	-	RPL9
chr4	39527838	39594707	NR_047679	0.644	+	UGDH-AS1
chr4	39459023	39477651	NM_001278590	0.643	+	LIAS
chr4	39459023	39463814	NM_001278591	0.643	+	LIAS
chr4	39459023	39463814	NM_001278592	0.643	+	LIAS
chr4	39459023	39477651	NM_006859	0.643	+	LIAS
chr4	39459023	39477651	NM_194451	0.643	+	LIAS
chr8	70608576	70663278	NR_038881	0.643	+	LOC286190
chr5	148826592	148828634	NM_000024	0.642	+	ADRB2
chr11	59574397	59616144	NM_002556	0.641	-	OSBP
chr4	39498754	39527598	NM_001184700	0.640	-	UGDH
chr4	39498755	39527598	NM_001184701	0.640	-	UGDH
chr4	39498755	39527598	NM_003359	0.640	-	UGDH
chr4	139015758	139045939	NM_012118	0.638	+	CCRN4L
chr11	18322268	18367043	NM_001142307	0.638	+	GTF2H1
chr11	18322268	18367043	NM_005316	0.638	+	GTF2H1
chr12	103950202	103957215	NM_001135570	0.638	-	C12orf73
chr14	24143488	24143565	NR_106990	0.637	-	MIR7703
chr4	39454124	39458587	NM_001024921	0.636	-	RPL9
chr11	18394388	18408218	NM_001135239	0.636	+	LDHA
chr11	18394388	18408218	NM_001165415	0.636	+	LDHA
chr11	18394388	18408218	NM_001165416	0.636	+	LDHA
chr11	18394388	18408218	NM_005566	0.636	+	LDHA
chr11	18394388	18408218	NR_028500	0.636	+	LDHA
chr4	139057716	139084414	NM_001276457	0.636	-	ELF2
chr4	139057716	139084414	NM_001276458	0.636	-	ELF2
chr4	139057716	139084414	NM_001276459	0.636	-	ELF2
chr4	139057716	139084414	NM_006874	0.636	-	ELF2
chr11	18278669	18322174	NM_007216	0.636	-	HPS5
chr11	18278669	18322174	NM_181507	0.636	-	HPS5
chr11	18278669	18322174	NM_181508	0.636	-	HPS5
chr19	50128401	50128522	NR_024214	0.635	-	SNAR-A3
chr19	50128401	50128522	NR_024215	0.635	-	SNAR-A4
chr19	50128401	50128522	NR_024223	0.635	-	SNAR-A5
chr19	50128401	50128522	NR_024224	0.635	-	SNAR-A7
chr19	50128401	50128522	NR_024225	0.635	-	SNAR-A11
chr19	50128401	50128522	NR_024226	0.635	-	SNAR-A9
chr19	50128401	50128522	NR_024227	0.635	-	SNAR-A6
chr19	50128401	50128522	NR_024228	0.635	-	SNAR-A8
chr19	50128401	50128522	NR_024229	0.635	-	SNAR-A10
chr19	50128401	50128522	NR_024242	0.635	-	SNAR-A14
chrX	304749	318819	NM_012227	0.635	-	GTPBP6
chr9	35697336	35732395	NM_006289	0.634	-	TLN1
chr5	41925253	41941570	NM_012176	0.634	+	FBXO4
chr5	41925253	41935083	NM_033484	0.634	+	FBXO4
chr9	35732319	35737008	NM_006368	0.633	+	CREB3
chr9	35657750	35658018	NR_003051	0.633	-	RMRP
chrX	154400280	154400415	NR_000011	0.632	+	SNORA70
chr2	113599027	113601576	NR_024005	0.631	-	DDX11L2
chr19	50107013	50107134	NR_024214	0.630	-	SNAR-A3
chr19	50107013	50107134	NR_024215	0.630	-	SNAR-A4
chr19	50107013	50107134	NR_024223	0.630	-	SNAR-A5
chr19	50107013	50107134	NR_024224	0.630	-	SNAR-A7
chr19	50107013	50107134	NR_024225	0.630	-	SNAR-A11
chr19	50107013	50107134	NR_024226	0.630	-	SNAR-A9
chr19	50107013	50107134	NR_024227	0.630	-	SNAR-A6
chr19	50107013	50107134	NR_024228	0.630	-	SNAR-A8
chr19	50107013	50107134	NR_024229	0.630	-	SNAR-A10
chr19	50107013	50107134	NR_024242	0.630	-	SNAR-A14
chrX	319144	321319	NR_027231	0.629	+	LINC00685
chrX	319144	321319	NR_027232	0.629	+	LINC00685
chr2	27130755	27134674	NM_013388	0.629	-	PREB
chr19	50140201	50140320	NR_024243	0.628	-	SNAR-D
chr4	9258123	9259716	NM_001256854	0.628	+	USP17L11
chr4	9258123	9259716	NM_001256861	0.628	+	USP17L20
chr4	9258123	9259716	NM_001256863	0.628	+	USP17L22
chr9	35732921	35732995	NR_106912	0.627	+	MIR6853
chr9	35658289	35661503	NM_001195200	0.627	+	CCDC107
chr9	35658289	35661503	NM_001195201	0.627	+	CCDC107
chr9	35658289	35661503	NM_001195217	0.627	+	CCDC107
chr9	35658289	35661503	NM_174923	0.627	+	CCDC107
chr2	27217389	27243786	NM_004341	0.626	+	CAD
chr4	9253377	9254970	NM_001256860	0.625	+	USP17L19
chr17	59619688	59696956	NM_001288653	0.625	+	CLTC
chr17	59619688	59696956	NM_004859	0.625	+	CLTC
chr17	59707501	59840591	NM_030938	0.624	+	VMP1
chr17	59697305	59707495	NM_016077	0.624	-	PTRH2
chr5	140711275	140711373	NR_026703	0.622	+	VTRNA1-1
chr10	63465228	63466562	NR_027182	0.615	+	JMJD1C-AS1
chr5	110739052	110762786	NM_138773	0.614	+	SLC25A46
chr21	37073270	37203107	NM_001001894	0.607	+	TTC3
chr4	4418968	4542048	NM_016930	0.607	-	STX18
chr6	144094880	144095617	NM_031287	0.607	-	SF3B5
chr11	66052344	66068911	NM_006842	0.607	+	SF3B2
chr12	120446437	120463753	NM_176818	0.607	+	GATC
chr12	120446437	120463753	NR_033684	0.607	+	GATC
chr1	226144678	226186722	NM_022735	0.606	-	ACBD3
chr10	96518109	96587052	NM_020123	0.606	-	TM9SF3
chr11	61789129	61792613	NM_014206	0.606	-	TMEM258
chr19	41956680	41959376	NM_006423	0.606	-	RABAC1
chr6	96521825	96555275	NM_015323	0.606	+	UFL1
chr11	74840909	74949187	NM_001270380	0.606	-	XRRA1
chr11	74840909	74949187	NM_001270381	0.606	-	XRRA1
chr11	74840909	74949187	NM_182969	0.606	-	XRRA1
chr14	39031918	39103233	NM_006364	0.606	-	SEC23A
chr16	31489474	31508419	NM_022744	0.606	-	C16orf58
chr19	39445545	39476668	NM_001111020	0.606	+	SUPT5H
chr19	39445545	39476668	NM_001130824	0.606	+	SUPT5H
chr19	39445545	39476668	NM_001130825	0.606	+	SUPT5H
chr8	94719874	94793848	NM_181787	0.606	+	DPY19L4
chr2	10783390	10812839	NM_001282707	0.606	-	PDIA6
chr2	10783390	10812839	NM_005742	0.606	-	PDIA6
chr2	19990203	20004806	NR_110235	0.606	+	LOC101928222
chr7	93232339	93361123	NM_001257998	0.606	+	CCDC132
chr7	93232339	93361123	NM_017667	0.606	+	CCDC132
chr7	93232339	93276425	NM_024553	0.606	+	CCDC132
chrX	123860166	123913979	NM_001167	0.606	+	XIAP
chrX	123860166	123913979	NR_037916	0.606	+	XIAP
chr12	94460002	94462568	NR_027035	0.606	+	CEP83-AS1
chr14	65083738	65102544	NM_001271068	0.606	-	MAX
chr14	65006100	65102544	NM_001271069	0.606	-	MAX
chr14	65075123	65102544	NM_002382	0.606	-	MAX
chr14	65075123	65102544	NM_145112	0.606	-	MAX
chr14	65075123	65102544	NM_145113	0.606	-	MAX
chr14	65083738	65102544	NM_145114	0.606	-	MAX
chr14	65006100	65102544	NM_197957	0.606	-	MAX
chr3	56557155	56621820	NM_001012506	0.606	+	CCDC66
chr3	56557155	56621820	NM_001141947	0.606	+	CCDC66
chr3	56557155	56621820	NR_024460	0.606	+	CCDC66
chr13	113297153	113323426	NM_005561	0.606	+	LAMP1
chr19	4090321	4124129	NM_030662	0.606	-	MAP2K2
chr5	115578495	115626179	NM_001164468	0.606	-	TMED7-TICAM2
chr5	115578495	115626179	NM_001164469	0.606	-	TMED7-TICAM2
chr5	163453579	163460137	NM_145266	0.606	-	NUDCD2
chr5	115613207	115626179	NM_181836	0.606	-	TMED7
chr7	100706052	100707500	NM_005837	0.606	+	POP7
chr12	132783867	132828840	NM_001172557	0.606	-	GOLGA3
chr14	50108631	50116579	NM_001040662	0.606	-	VCPKMT
chr14	50108631	50116579	NM_024558	0.606	-	VCPKMT
chr14	50108631	50116579	NR_049738	0.606	-	VCPKMT
chr14	50108631	50116579	NR_049739	0.606	-	VCPKMT
chr17	18781268	18806713	NM_016078	0.606	+	TVP23B
chr7	128739291	128773423	NM_001130674	0.606	+	CALU
chr7	128739291	128773423	NM_001199671	0.606	+	CALU
chr7	128739291	128773423	NM_001199672	0.606	+	CALU
chr7	128739291	128773423	NM_001199673	0.606	+	CALU
chr7	128739291	128773423	NM_001219	0.606	+	CALU
chr7	128739291	128773423	NR_074086	0.606	+	CALU
chr9	132261439	132354985	NM_015046	0.606	-	SETX
chr2	231508425	231514339	NR_024079	0.606	-	LINC00471
chr5	154038958	154057454	NM_001135037	0.606	+	MFAP3
chr5	154038958	154057454	NM_001242336	0.606	+	MFAP3
chr5	154038958	154057454	NM_005927	0.606	+	MFAP3
chr6	138161915	138344663	NM_020340	0.606	+	KIAA1244
chr12	94308279	94459988	NM_001042399	0.606	-	CEP83
chr12	94308279	94459988	NM_016122	0.606	-	CEP83
chr3	150541992	150546641	NM_014445	0.606	-	SERP1
chr5	132556923	132644621	NM_005732	0.606	+	RAD50
chr5	118836873	118988545	NM_173666	0.606	-	DTWD2
chrX	135344770	135363413	NM_152695	0.606	+	ZNF449
chr7	17790760	17940508	NM_015132	0.606	-	SNX13
chrX	153794563	153798512	NM_006280	0.606	+	SSR4
chr19	18899513	18919390	NM_007263	0.606	-	COPE
chr19	18899513	18919390	NM_199442	0.606	-	COPE
chr19	18899513	18919390	NM_199444	0.606	-	COPE
chr3	53283424	53347627	NM_001290204	0.606	-	DCP1A
chr3	53283424	53347627	NM_001290205	0.606	-	DCP1A
chr3	53283424	53347627	NM_001290206	0.606	-	DCP1A
chr3	53283424	53347627	NM_001290207	0.606	-	DCP1A
chr3	53283424	53347627	NM_018403	0.606	-	DCP1A
chr12	110281226	110351092	NM_001681	0.606	+	ATP2A2
chr12	110281226	110351092	NM_170665	0.606	+	ATP2A2
chr1	160343272	160358952	NM_001290184	0.606	+	NCSTN
chr1	160343272	160358952	NM_001290186	0.606	+	NCSTN
chr1	160343272	160358952	NM_015331	0.606	+	NCSTN
chr15	43746391	43772606	NM_005313	0.606	+	PDIA3
chr14	102228820	102305200	NM_001272011	0.606	-	MOK
chr14	102228820	102305200	NM_014226	0.606	-	MOK
chr16	70252393	70289509	NM_001605	0.606	-	AARS
chr2	219498864	219506996	NM_013335	0.606	+	GMPPA
chr4	53377652	53459936	NM_001134937	0.606	+	FIP1L1
chr4	53377652	53459936	NM_001134938	0.606	+	FIP1L1
chr4	53377652	53459936	NM_030917	0.606	+	FIP1L1
chr4	8440804	8476555	NM_152544	0.606	+	TRMT44
chr5	112861187	112868392	NM_001204193	0.606	+	SRP19
chr5	112861187	112868392	NM_001204194	0.606	+	SRP19
chr5	112861187	112868392	NM_001204196	0.606	+	SRP19
chr5	112861187	112893079	NM_001204199	0.606	+	SRP19
chr5	112861187	112868392	NM_003135	0.606	+	SRP19
chr2	69319768	69387254	NM_001244710	0.606	-	GFPT1
chr2	69319768	69387254	NM_002056	0.606	-	GFPT1
chr3	169966791	169998373	NM_003262	0.606	+	SEC62
chr4	76114658	76148515	NM_001278603	0.606	-	NUP54
chr4	76114658	76148515	NM_017426	0.606	-	NUP54
chr4	76114658	76148515	NR_103780	0.606	-	NUP54
chr4	76114658	76148515	NR_103781	0.606	-	NUP54
chr4	76114658	76148515	NR_103782	0.606	-	NUP54
chr13	52167709	52194467	NR_002816	0.606	-	MRPS31P5
chr13	52167709	52194467	NR_051963	0.606	-	MRPS31P5
chr13	52167709	52194467	NR_051964	0.606	-	MRPS31P5
chr13	52167709	52194467	NR_051965	0.606	-	MRPS31P5
chr2	219498894	219506996	NM_205847	0.606	+	GMPPA
chr21	44328943	44339402	NM_001271440	0.606	-	C21orf2
chr21	44328943	44339402	NM_001271441	0.606	-	C21orf2
chr21	44328943	44339402	NM_004928	0.606	-	C21orf2
chr6	106184476	106325820	NM_001286107	0.606	-	ATG5
chr6	106184476	106325820	NM_001286108	0.606	-	ATG5
chr6	106184476	106325820	NM_001286111	0.606	-	ATG5
chr6	106184476	106325820	NM_004849	0.606	-	ATG5
chrX	149938547	150016787	NR_027456	0.606	+	LINC00894
chr1	163321932	163355763	NM_031423	0.606	+	NUF2
chr1	163321932	163355763	NM_145697	0.606	+	NUF2
chr13	45464894	45536698	NM_031431	0.606	+	COG3
chr14	69767111	69772005	NM_001039465	0.606	+	SRSF5
chr17	69961706	69983544	NR_110874	0.606	+	LOC102723487
chr17	69961706	69983544	NR_110875	0.606	+	LOC102723487
chr3	119428959	119463682	NM_018266	0.606	-	TMEM39A
chr3	119428959	119463682	NR_073506	0.606	-	TMEM39A
chr5	112737858	112846239	NM_000038	0.606	+	APC
chr5	112737858	112846239	NM_001127510	0.606	+	APC
chr8	123219955	123241398	NM_032847	0.606	-	C8orf76
chr9	26840684	26892828	NM_001167575	0.606	-	CAAP1
chr9	26840684	26892828	NM_024828	0.606	-	CAAP1
chrX	47658832	47660111	NR_028119	0.606	+	UXT-AS1
chr16	68264515	68301823	NM_001076785	0.606	+	SLC7A6
chr16	68264515	68301823	NM_003983	0.606	+	SLC7A6
chr2	189770266	189784371	NM_001128150	0.606	-	ORMDL1
chr2	189770266	189784371	NM_016467	0.606	-	ORMDL1
